Assembly	Number_contigs	Total_length	GC	core	nad	rps3	Order
Aciculoconidium__aculeatum__34654	1	63027	27.42	0.857142857	1	0	Serinales
Ambrosiozyma__ambrosiae__26137	1	54990	18.2	1	1	1	Pichiales
Ambrosiozyma__kashinagacola__35038	1	26413	19.57	1	1	1	Pichiales
Ambrosiozyma__maleeae__35040	1	31035	17.98	1	1	1	Pichiales
Ambrosiozyma__monospora__26279	1	54655	21.19	0.857142857	1	1	Pichiales
Ambrosiozyma__oregonensis__34946	1	52784	20.57	0.857142857	1	1	Pichiales
Ambrosiozyma__philentoma__34947	1	43891	20.26	0.857142857	1	1	Pichiales
Ambrosiozyma__pseudovanderkliftii__35041	1	29534	18.91	1	1	1	Pichiales
Ambrosiozyma__vanderkliftii__26145	1	27137	18.99	1	1	1	Pichiales
Ascoidea__asiatica__37921	1	78094	22.73	0.857142857	1	1	Ascoideales
Ashbya.aceri.CP006258	1	26996	17.58	1	0	1	Saccharomycetales
Babjeviella__inositovora__35043	1	47476	22.51	1	1	0	Serinales
Barnettozyma.californica.KC993183	1	48471	19.24	1	1	1	Phaffomycetales
Barnettozyma__populi__35046	1	53385	14.46	1	1	1	Phaffomycetales
Barnettozyma__pratensis__35047	1	52400	19	1	1	1	Phaffomycetales
Barnettozyma__salicaria__35048	1	50290	11.88	1	1	1	Phaffomycetales
Blastobotrys__adeninivorans__34680	1	29235	19.16	1	1	0	Dipodascales
Blastobotrys__americana__34681	2	35594	19.38	0.857142857	1	1	Dipodascales
Blastobotrys__mokoenaii__34675	1	26288	22.68	1	1	0	Dipodascales
Blastobotrys__muscicola__34674	1	26284	21.92	1	1	1	Dipodascales
Blastobotrys__nivea__34673	1	41647	21.67	1	0.857142857	0	Dipodascales
Blastobotrys__peoriensis__34671	1	39324	25.21	1	1	0	Dipodascales
Blastobotrys__proliferans__34670	1	33031	23.59	1	1	0	Dipodascales
Blastobotrys__raffinofermentans__34669	1	37694	18.74	1	1	0	Dipodascales
Blastobotrys__serpentis__34667	1	30818	26.59	1	1	0	Dipodascales
Botryozyma__nematodophila__34655	1	121723	27.35	1	1	0	Trigonopsidales
Brettanomyces.bruxellensis.GQ354526	1	76453	15.2	1	1	1	Pichiales
Brettanomyces.custersianus.GQ354525	1	30058	21.04	1	1	1	Pichiales
Brettanomyces__anomalus__34976	1	59057	13.5	1	1	1	Pichiales
Candida.alai.HQ267968	1	30368	20.94	1	1	0	Serinales
Candida.albicans.AF285261	1	40420	32.16	1	1	0	Serinales
Candida.auris.AP018713	1	27071	22.69	1	1	0	Serinales
Candida.blackwelliae.KC993199	1	32053	24.61	1	1	0	Serinales
Candida.bohioensis.KF214631	1	69218	21.92	1	1	0	Serinales
Candida.buenavistaensis.KC993175	1	46389	31.42	1	1	0	Serinales
Candida.castellii.FM995165	1	50294	12.58	1	0	1	Saccharomycetales
Candida.chauliodis.KF017574	1	77153	27.84	1	1	0	Serinales
Candida.corydali.KC993198	1	46389	26.75	1	1	0	Serinales
Candida.frijolesensis.HM594866	1	37215	21.55	1	1	0	Serinales
Candida.gigantensis.KF017572	1	55125	52.13	1	1	0	Serinales
Candida.glabrata.NC_004691	1	20063	17.64	1	0	1	Saccharomycetales
Candida.intermedia.LT635771	1	22057	27.42	1	1	0	Serinales
Candida.jiufengensis.GU136397	1	29672	28.35	1	1	0	Serinales
Candida.labiduridarum.KC993196	1	39443	20.47	1	1	0	Serinales
Candida.maltosa.EU267175	1	62949	22.05	1	1	0	Serinales
Candida.metapsilosis.AY962591	1	24152	25.09	1	1	0	Serinales
Candida.neerlandica.EU334437	1	32141	24.38	1	1	0	Serinales
Candida.nivariensis.KU920681	1	28524	17.41	1	0	1	Saccharomycetales
Candida.norvegica.KF017573	1	42180	17.6	1	1	1	Phaffomycetales
Candida.orthopsilosis.AY962590	1	22528	25.04	1	1	0	Serinales
Candida.oxycetoniae.KC993187	1	62593	25.93	1	1	0	Serinales
Candida.parapsilosis.X74411	1	32745	23.82	1	0.857142857	0	Serinales
Candida.prachuapensis.KF214632	1	90840	22.32	1	1	0	Serinales
Candida.pseudojiufengensis.KC993179	1	33625	27.78	1	1	0	Serinales
Candida.psychrophila.MF163266	1	38445	26.76	1	1	0	Serinales
Candida.sake.KC993194	1	26205	25.74	1	1	0	Serinales
Candida.santjacobensis.KC993178	1	64525	25.55	1	1	1	Dipodascales
Candida.saraburiensis.KC993174	1	32135	25.79	1	1	0	Serinales
Candida.sojae.EF468347	1	39415	29.1	1	1	0	Serinales
Candida.subhashii.GU126492	1	29795	52.67	1	1	0	Serinales
Candida.tetrigidarum.KC993180	1	52426	28.16	1	1	0	Serinales
Candida.theae.KC993195	1	26234	24.25	1	1	0	Serinales
Candida.tropicalis.NW_003020054	1	50304	37.29	1	1	0	Serinales
Candida.vartiovaarae.KC993190	1	33201	20.92	1	1	1	Phaffomycetales
Candida.viswanathii.EF536359	1	39242	26.25	1	1	0	Serinales
Candida__apicola	1	22143	21.67	1	1	1	Dipodascales
Candida__arabinofermentans__34925	1	66803	15.86	0.714285714	1	1	Pichiales
Candida__ascalaphidarum__41855	1	29979	25.09	1	1	0	Serinales
Candida__athensensis__34632	1	19989	27.43	1	1	0	Serinales
Candida__azyma__35286	1	29137	17.84	1	1	1	Phaffomycetales
Candida__blattae__35335	1	23578	25.34	1	1	0	Serinales
Candida__boidinii__34926	1	30752	18.55	1	1	1	Pichiales
Candida__canberraensis__35018	1	29052	24.09	1	1	0	Serinales
Candida__carpophila__yHDO571	1	42075	22.45	1	1	0	Serinales
Candida__cretensis__35033	1	19750	25.7	1	1	0	Serinales
Candida__dubliniensis__34991	1	34732	30.65	1	1	0	Serinales
Candida__emberorum__35022	1	33708	23.84	1	1	0	Serinales
Candida__fragi__35302	2	22659	24.75	1	1	0	Serinales
Candida__freyschussii__34967	1	44115	20.05	1	1	1	Phaffomycetales
Candida__fructus__34988	1	26790	23.42	1	1	0	Serinales
Candida__gatunensis__35032	1	41457	23.9	1	1	0	Serinales
Candida__gorgasii__41863	1	21063	23.84	1	1	0	Serinales
Candida__gotoi__35681	1	21499	25.36	1	1	0	Serinales
Candida__hawaiiana__41743	1	35612	29.4	1	1	0	Serinales
Candida__heveicola__35707	1	27557	23.81	1	1	0	Serinales
Candida__hispaniensis__35633	1	30822	19.22	1	1	0	Dipodascales
Candida__homilentoma__35316	1	25287	34.16	1	1	0	Serinales
Candida__incommunis__35244	1	23116	28.01	1	1	1	Dipodascales
Candida__infanticola__35289	1	56486	17.66	1	1	1	Dipodascales
Candida__kruisii__35031	1	23504	25.56	1	1	0	Serinales
Candida__montana__35037	1	29831	18.35	1	1	1	Phaffomycetales
Candida__mycetangii__35689	1	42547	15.7	1	1	0	Phaffomycetales
Candida__orba__35673	1	60692	16.66	1	1	0	Phaffomycetales
Candida__oregonensis__34986	3	43051	24.11	1	1	0	Serinales
